Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Demo WebShop SmokeSuite Execution,Chrome 127.0.0.0,,,14-08-2024 08:30:45,14-08-2024 08:31:52,1m - 7.412s,PASSED
,,,,,,,
Test Cases/Registration/TC001_Verify that User is able to Register,Chrome 127.0.0.0,,,14-08-2024 08:30:45,14-08-2024 08:30:59,14.378s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 127.0.0.0,,,14-08-2024 08:30:45,14-08-2024 08:30:45,0.036s,PASSED
"openBrowser("""")",Chrome 127.0.0.0,,,14-08-2024 08:30:45,14-08-2024 08:30:47,1.805s,PASSED
navigateToUrl(appURL),Chrome 127.0.0.0,,,14-08-2024 08:30:47,14-08-2024 08:30:49,2.343s,PASSED
maximizeWindow(),Chrome 127.0.0.0,,,14-08-2024 08:30:49,14-08-2024 08:30:50,0.078s,PASSED
"click(findTestObject(""Object Repository/Registration/Page_Demo Web Shop/a_Register""))",Chrome 127.0.0.0,,,14-08-2024 08:30:50,14-08-2024 08:30:50,0.914s,PASSED
"click(findTestObject(""Object Repository/Registration/Page_Demo Web Shop. Register/input_Gender_Gender""))",Chrome 127.0.0.0,,,14-08-2024 08:30:50,14-08-2024 08:30:51,0.331s,PASSED
"setText(findTestObject(""Object Repository/Registration/Page_Demo Web Shop. Register/input_First name_FirstName""), ""Nitesh"")",Chrome 127.0.0.0,,,14-08-2024 08:30:51,14-08-2024 08:30:51,0.654s,PASSED
"myEmailAddress = ""thisismyaddress"" + System.nanoTime() + ""@test.com""",Chrome 127.0.0.0,,,14-08-2024 08:30:51,14-08-2024 08:30:51,0.009s,PASSED
"passWord = ""nitesh123""",Chrome 127.0.0.0,,,14-08-2024 08:30:51,14-08-2024 08:30:51,0.001s,PASSED
"setText(findTestObject(""Object Repository/Registration/Page_Demo Web Shop. Register/input_Last name_LastName""), ""TestAutomation"")",Chrome 127.0.0.0,,,14-08-2024 08:30:51,14-08-2024 08:30:52,0.605s,PASSED
"setText(findTestObject(""Object Repository/Registration/Page_Demo Web Shop. Register/input_Email_Email""), myEmailAddress)",Chrome 127.0.0.0,,,14-08-2024 08:30:52,14-08-2024 08:30:53,0.773s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Registration/Page_Demo Web Shop. Register/input_Password_Password""), ""M2QPTmdpEDqAc7bqT3oqOA=="")",Chrome 127.0.0.0,,,14-08-2024 08:30:53,14-08-2024 08:30:53,0.519s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Registration/Page_Demo Web Shop. Register/input_Confirm password_ConfirmPassword""), ""M2QPTmdpEDqAc7bqT3oqOA=="")",Chrome 127.0.0.0,,,14-08-2024 08:30:53,14-08-2024 08:30:54,0.476s,PASSED
"click(findTestObject(""Object Repository/Registration/Page_Demo Web Shop. Register/input__register-button""))",Chrome 127.0.0.0,,,14-08-2024 08:30:54,14-08-2024 08:30:56,2.603s,PASSED
"doubleClick(findTestObject(""Object Repository/Registration/Page_Demo Web Shop. Register/div_Your registration completed""))",Chrome 127.0.0.0,,,14-08-2024 08:30:56,14-08-2024 08:30:57,0.448s,PASSED
"click(findTestObject(""Object Repository/Registration/Page_Demo Web Shop. Register/div_Your registration completed""))",Chrome 127.0.0.0,,,14-08-2024 08:30:57,14-08-2024 08:30:57,0.372s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Registration/Page_Demo Web Shop. Register/registration_success_message""), 2)",Chrome 127.0.0.0,,,14-08-2024 08:30:57,14-08-2024 08:30:58,0.288s,PASSED
"confirmation = getText(findTestObject(""Object Repository/Registration/Page_Demo Web Shop. Register/registration_success_message""))",Chrome 127.0.0.0,,,14-08-2024 08:30:58,14-08-2024 08:30:58,0.284s,PASSED
log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 127.0.0.0,,,14-08-2024 08:30:58,14-08-2024 08:30:58,0.015s,PASSED
log.logInfo(confirmation),Chrome 127.0.0.0,,,14-08-2024 08:30:58,14-08-2024 08:30:58,0.000s,PASSED
"log.logInfo(""LoginId: "" + myEmailAddress)",Chrome 127.0.0.0,,,14-08-2024 08:30:58,14-08-2024 08:30:58,0.000s,PASSED
"log.logInfo(""Password: "" + passWord)",Chrome 127.0.0.0,,,14-08-2024 08:30:58,14-08-2024 08:30:58,0.016s,PASSED
takeScreenshot(),Chrome 127.0.0.0,,,14-08-2024 08:30:58,14-08-2024 08:30:58,0.444s,PASSED
closeBrowser(),Chrome 127.0.0.0,,,14-08-2024 08:30:58,14-08-2024 08:30:59,1.171s,PASSED
Start listener action : sampleAfterTestCase,Chrome 127.0.0.0,,,14-08-2024 08:30:59,14-08-2024 08:30:59,0.000s,PASSED
,,,,,,,
Test Cases/Login/TC002_Verify user is successfully login to the application,Chrome 127.0.0.0,,,14-08-2024 08:30:59,14-08-2024 08:31:09,9.146s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 127.0.0.0,,,14-08-2024 08:30:59,14-08-2024 08:30:59,0.000s,PASSED
"openBrowser("""")",Chrome 127.0.0.0,,,14-08-2024 08:31:00,14-08-2024 08:31:00,0.671s,PASSED
navigateToUrl(appURL),Chrome 127.0.0.0,,,14-08-2024 08:31:00,14-08-2024 08:31:03,2.969s,PASSED
maximizeWindow(),Chrome 127.0.0.0,,,14-08-2024 08:31:03,14-08-2024 08:31:03,0.048s,PASSED
"click(findTestObject(""Object Repository/Login/Page_Demo Web Shop/a_Log in""))",Chrome 127.0.0.0,,,14-08-2024 08:31:03,14-08-2024 08:31:04,0.901s,PASSED
"setText(findTestObject(""Object Repository/Login/Page_Demo Web Shop. Login/input_Email_Email""), userID)",Chrome 127.0.0.0,,,14-08-2024 08:31:04,14-08-2024 08:31:05,0.757s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login/Page_Demo Web Shop. Login/input_Password_Password""), ""M2QPTmdpEDqAc7bqT3oqOA=="")",Chrome 127.0.0.0,,,14-08-2024 08:31:05,14-08-2024 08:31:05,0.368s,PASSED
"click(findTestObject(""Object Repository/Login/Page_Demo Web Shop. Login/input_Forgot password_button-1 login-button""))",Chrome 127.0.0.0,,,14-08-2024 08:31:05,14-08-2024 08:31:08,2.339s,PASSED
"verifyElementText(findTestObject(""Login/Page_Demo Web Shop/a_niteshtestautomationabc.com""), ""niteshtestautomation@abc.com"")",Chrome 127.0.0.0,,,14-08-2024 08:31:08,14-08-2024 08:31:08,0.421s,PASSED
log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 127.0.0.0,,,14-08-2024 08:31:08,14-08-2024 08:31:08,0.000s,PASSED
"log.logInfo(""Login Success"")",Chrome 127.0.0.0,,,14-08-2024 08:31:08,14-08-2024 08:31:08,0.011s,PASSED
takeScreenshot(),Chrome 127.0.0.0,,,14-08-2024 08:31:08,14-08-2024 08:31:08,0.363s,PASSED
closeBrowser(),Chrome 127.0.0.0,,,14-08-2024 08:31:08,14-08-2024 08:31:09,0.219s,PASSED
Start listener action : sampleAfterTestCase,Chrome 127.0.0.0,,,14-08-2024 08:31:09,14-08-2024 08:31:09,0.000s,PASSED
,,,,,,,
Test Cases/Search/TC003_Verify that on searching valid keyword for product it should show all realted products,Chrome 127.0.0.0,,,14-08-2024 08:31:09,14-08-2024 08:31:15,6.118s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 127.0.0.0,,,14-08-2024 08:31:09,14-08-2024 08:31:09,0.000s,PASSED
"openBrowser("""")",Chrome 127.0.0.0,,,14-08-2024 08:31:09,14-08-2024 08:31:09,0.659s,PASSED
navigateToUrl(appURL),Chrome 127.0.0.0,,,14-08-2024 08:31:09,14-08-2024 08:31:12,2.481s,PASSED
maximizeWindow(),Chrome 127.0.0.0,,,14-08-2024 08:31:12,14-08-2024 08:31:12,0.053s,PASSED
"setText(findTestObject(""Object Repository/Search/Page_Demo Web Shop/input_You have no items in your shopping cart_q""), ""Camera"")",Chrome 127.0.0.0,,,14-08-2024 08:31:12,14-08-2024 08:31:13,0.765s,PASSED
"click(findTestObject(""Object Repository/Search/Page_Demo Web Shop/input_You have no items in your shopping ca_bc5dba""))",Chrome 127.0.0.0,,,14-08-2024 08:31:13,14-08-2024 08:31:14,1.013s,PASSED
"text = getText(findTestObject(""Search/Page_Demo Web Shop. Search/a_Digital SLR Camera 12.2 Mpixel""))",Chrome 127.0.0.0,,,14-08-2024 08:31:14,14-08-2024 08:31:14,0.332s,PASSED
log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 127.0.0.0,,,14-08-2024 08:31:14,14-08-2024 08:31:14,0.005s,PASSED
"if (text.contains(""Camera""))",Chrome 127.0.0.0,,,14-08-2024 08:31:14,14-08-2024 08:31:14,0.007s,PASSED
takeScreenshot(),Chrome 127.0.0.0,,,14-08-2024 08:31:14,14-08-2024 08:31:14,0.455s,PASSED
closeBrowser(),Chrome 127.0.0.0,,,14-08-2024 08:31:14,14-08-2024 08:31:15,0.239s,PASSED
Start listener action : sampleAfterTestCase,Chrome 127.0.0.0,,,14-08-2024 08:31:15,14-08-2024 08:31:15,0.004s,PASSED
,,,,,,,
Test Cases/Homepage/TC004_Verify that all product categories are listed on Homepage,Chrome 127.0.0.0,,,14-08-2024 08:31:15,14-08-2024 08:31:21,6.481s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 127.0.0.0,,,14-08-2024 08:31:15,14-08-2024 08:31:15,0.031s,PASSED
"openBrowser("""")",Chrome 127.0.0.0,,,14-08-2024 08:31:15,14-08-2024 08:31:16,0.767s,PASSED
navigateToUrl(appURL),Chrome 127.0.0.0,,,14-08-2024 08:31:16,14-08-2024 08:31:17,0.678s,PASSED
maximizeWindow(),Chrome 127.0.0.0,,,14-08-2024 08:31:17,14-08-2024 08:31:18,1.067s,PASSED
"verifyElementPresent(findTestObject(""Homepage/Page_Demo Web Shop/div_Categories""), 0)",Chrome 127.0.0.0,,,14-08-2024 08:31:18,14-08-2024 08:31:18,0.409s,PASSED
log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 127.0.0.0,,,14-08-2024 08:31:18,14-08-2024 08:31:18,0.002s,PASSED
"verifyElementText(findTestObject(""Object Repository/Homepage/Page_Demo Web Shop/a_Books""), ""Books"")",Chrome 127.0.0.0,,,14-08-2024 08:31:18,14-08-2024 08:31:18,0.399s,PASSED
"log.logInfo(""Books Product Category is present"")",Chrome 127.0.0.0,,,14-08-2024 08:31:18,14-08-2024 08:31:18,0.000s,PASSED
"verifyElementText(findTestObject(""Object Repository/Homepage/Page_Demo Web Shop. Books/a_Computers""), ""Computers"")",Chrome 127.0.0.0,,,14-08-2024 08:31:18,14-08-2024 08:31:19,0.485s,PASSED
"log.logInfo(""Computers Product Category is present"")",Chrome 127.0.0.0,,,14-08-2024 08:31:19,14-08-2024 08:31:19,0.000s,PASSED
"verifyElementText(findTestObject(""Object Repository/Homepage/Page_Demo Web Shop. Computers/a_Electronics""), ""Electronics"")",Chrome 127.0.0.0,,,14-08-2024 08:31:19,14-08-2024 08:31:19,0.357s,PASSED
"log.logInfo(""Electronics Product Category is present"")",Chrome 127.0.0.0,,,14-08-2024 08:31:19,14-08-2024 08:31:19,0.005s,PASSED
"verifyElementText(findTestObject(""Object Repository/Homepage/Page_Demo Web Shop. Electronics/a_Apparel  Shoes""), ""Apparel & Shoes"")",Chrome 127.0.0.0,,,14-08-2024 08:31:19,14-08-2024 08:31:20,0.304s,PASSED
